Position  Value 
0.000000  0.000000
0.004000  0.000000
0.008000  0.000000
0.012000  0.025130
0.016000  0.050244
0.020000  0.075327
0.024000  0.100362
0.028000  0.125333
0.032000  0.150226
0.036000  0.175023
0.040000  0.199710
0.044000  0.224271
0.048000  0.248690
0.052000  0.272952
0.056000  0.297042
0.060000  0.320944
0.064000  0.344643
0.068000  0.368125
0.072000  0.391374
0.076000  0.414376
0.080000  0.437116
0.084000  0.459580
0.088000  0.481754
0.092000  0.503623
0.096000  0.525175
0.100000  0.546394
0.104000  0.567269
0.108000  0.587785
0.112000  0.607930
0.116000  0.627691
0.120000  0.647056
0.124000  0.666012
0.128000  0.684547
0.132000  0.702650
0.136000  0.720309
0.140000  0.737513
0.144000  0.754251
0.148000  0.770513
0.152000  0.786288
0.156000  0.801567
0.160000  0.816339
0.164000  0.830596
0.168000  0.844328
0.172000  0.857527
0.176000  0.870184
0.180000  0.882291
0.184000  0.893841
0.188000  0.904827
0.192000  0.915241
0.196000  0.925077
0.200000  0.934329
0.204000  0.942991
0.208000  0.951057
0.212000  0.958522
0.216000  0.965382
0.220000  0.971632
0.224000  0.977268
0.228000  0.982287
0.232000  0.986686
0.236000  0.990461
0.240000  0.993611
0.244000  0.996134
0.248000  0.998027
0.252000  0.999289
0.256000  0.999921
0.260000  0.999921
0.264000  0.999289
0.268000  0.998027
0.272000  0.996134
0.276000  0.993611
0.280000  0.990461
0.284000  0.986686
0.288000  0.982287
0.292000  0.977268
0.296000  0.971632
0.300000  0.965382
0.304000  0.958522
0.308000  0.951056
0.312000  0.942990
0.316000  0.934329
0.320000  0.925077
0.324000  0.915241
0.328000  0.904827
0.332000  0.893841
0.336000  0.882291
0.340000  0.870184
0.344000  0.857527
0.348000  0.844328
0.352000  0.830596
0.356000  0.816339
0.360000  0.801567
0.364000  0.786288
0.368000  0.770513
0.372000  0.754251
0.376000  0.737513
0.380000  0.720309
0.384000  0.702650
0.388000  0.684547
0.392000  0.666012
0.396000  0.647056
0.400000  0.627691
0.404000  0.607930
0.408000  0.587785
0.412000  0.567269
0.416000  0.546394
0.420000  0.525174
0.424000  0.503623
0.428000  0.481754
0.432000  0.459580
0.436000  0.437116
0.440000  0.414376
0.444000  0.391374
0.448000  0.368124
0.452000  0.344643
0.456000  0.320944
0.460000  0.297042
0.464000  0.272952
0.468000  0.248690
0.472000  0.224271
0.476000  0.199710
0.480000  0.175023
0.484000  0.150226
0.488000  0.125333
0.492000  0.100362
0.496000  0.075327
0.500000  0.050244
0.504000  0.025130
0.508000  0.000000
0.512000  -0.025130
0.516000  -0.050244
0.520000  -0.075327
0.524000  -0.100362
0.528000  -0.125333
0.532000  -0.150226
0.536000  -0.175023
0.540000  -0.199710
0.544000  -0.224271
0.548000  -0.248690
0.552000  -0.272952
0.556000  -0.297042
0.560000  -0.320944
0.564000  -0.344643
0.568000  -0.368125
0.572000  -0.391374
0.576000  -0.414376
0.580000  -0.437116
0.584000  -0.459580
0.588000  -0.481754
0.592000  -0.503623
0.596000  -0.525175
0.600000  -0.546394
0.604000  -0.567269
0.608000  -0.587785
0.612000  -0.607930
0.616000  -0.627692
0.620000  -0.647056
0.624000  -0.666012
0.628000  -0.684547
0.632000  -0.702650
0.636000  -0.720309
0.640000  -0.737513
0.644000  -0.754251
0.648000  -0.770513
0.652000  -0.786289
0.656000  -0.801567
0.660000  -0.816339
0.664000  -0.830596
0.668000  -0.844328
0.672000  -0.857527
0.676000  -0.870184
0.680000  -0.882291
0.684000  -0.893842
0.688000  -0.904827
0.692000  -0.915241
0.696000  -0.925077
0.700000  -0.934329
0.704000  -0.942991
0.708000  -0.951057
0.712000  -0.958522
0.716000  -0.965382
0.720000  -0.971632
0.724000  -0.977268
0.728000  -0.982287
0.732000  -0.986686
0.736000  -0.990461
0.740000  -0.993611
0.744000  -0.996134
0.748000  -0.998027
0.752000  -0.999289
0.756000  -0.999921
0.760000  -0.999921
0.764000  -0.999289
0.768000  -0.998027
0.772000  -0.996134
0.776000  -0.993611
0.780000  -0.990461
0.784000  -0.986686
0.788000  -0.982287
0.792000  -0.977268
0.796000  -0.971632
0.800000  -0.965382
0.804000  -0.958522
